PAIS,FECHA,ADQUIRIENTE,RUBRO,VENTAS_ADQ_SIM,VENTAS_RAPPI_SIM,CONC_SIM_VEN,FEE_ADQ_SIM,FEE_RAPPI_SIM,CONC_SIM_FEE,TAX_ADQ_SIM,TAX_RAPPI_SIM,CONC_SIM_TAX,TRX_ADQ_SIM,TRX_RAPPI_SIM,FALTANTES_SIM
Colombia,2021-11-18,Wompi,Ventas,148592530.0,148592530.00,1.0,1879873.635,1879873.635,1.0,0.0,357175.99065,0.0,4622,4622,0
Colombia,2021-11-19,Wompi,Ventas,223792406.0,223792406.00,1.0,2630813.835,2630813.835,1.0,0.0,499854.62865,0.0,6209,6209,0
Colombia,2021-11-20,Wompi,Ventas,235664984.0,235664984.00,1.0,2826184.71,2826184.71,1.0,0.0,536975.0949,0.0,6413,6413,0
Colombia,2021-11-21,Wompi,Ventas,208718436.0,208718436.00,1.0,2533006.08,2533006.08,1.0,0.0,481271.15520000004,0.0,5843,5843,0
Colombia,2021-11-22,Wompi,Ventas,139945687.0,139945687.00,1.0,1734357.45,1734357.45,1.0,0.0,329527.9155,0.0,4348,4348,0
Colombia,2021-11-23,Wompi,Ventas,143752180.0,143752180.00,1.0,1805530.47,1805530.47,1.0,0.0,343050.7893,0.0,4572,4572,0
Colombia,2021-11-24,Wompi,Ventas,146163791.0,146163791.00,1.0,1824240.675,1824240.675,1.0,0.0,346605.72825,0.0,4595,4595,0
Colombia,2021-11-25,Wompi,Ventas,167670115.0,167670115.00,1.0,2081808.945,2081808.945,1.0,0.0,395543.69955,0.0,5146,5146,0
Colombia,2021-11-26,Wompi,Ventas,205430948.0,205430948.00,1.0,2456219.055,2456219.055,1.0,0.0,466681.62045000005,0.0,5920,5920,0
Colombia,2021-11-27,Wompi,Ventas,206498990.0,206498990.00,1.0,2439995.625,2439995.625,1.0,0.0,463599.16875,0.0,5712,5712,0
Colombia,2021-11-28,Wompi,Ventas,222630292.0,222630292.00,1.0,2709058.395,2709058.395,1.0,0.0,514721.09505,0.0,6335,6335,0
Colombia,2021-11-29,Wompi,Ventas,147570650.0,147570650.00,1.0,1830649.02,1830649.02,1.0,0.0,347823.3138,0.0,4566,4566,0
Colombia,2021-11-30,Wompi,Ventas,159157461.0,159157461.00,1.0,1974475.5,1974475.5,1.0,0.0,375150.34500000003,0.0,4829,4829,0
Colombia,2021-12-01,Wompi,Ventas,163800564.0,163800564.00,1.0,2015413.695,2015413.695,1.0,0.0,382928.60205000004,0.0,4905,4905,0
